date,Y1,Y2,Y3,Y4,Y5,Y6,Y7,close
2014/1/2,-2.10735,-3.272139,0.002102,0.281605,0.138082,0.673607,2.480331,2109.39
2014/1/3,-1.861979,-3.231263,0.170675,0.365405,0.132476,0.688493,2.523571,2083.14
2014/1/6,-1.787988,-3.159798,0.233828,0.517223,0.207737,0.630609,2.698425,2045.71
2014/1/7,-1.660347,-3.218843,0.293996,0.508783,0.32118,0.427067,2.774268,2047.32
2014/1/8,-2.54868,-3.097644,0.052708,0.599656,0.273459,0.566902,2.810904,2044.34
2014/1/9,-1.543135,-3.128469,0.444515,0.628252,0.332456,0.402866,2.80398,2027.62
2014/1/10,-2.48617,-3.106894,0.105655,0.69305,0.309096,0.512452,2.892307,2013.3
2014/1/13,-2.446881,-3.10411,0.019787,0.789705,0.372042,0.409826,2.966415,2009.56
2014/1/14,-1.958407,-3.128528,0.17066,0.81706,0.401524,0.321675,2.959415,2026.84
2014/1/15,-1.603554,-3.127663,0.260926,0.83844,0.429097,0.230734,2.936645,2023.35
2014/1/16,-1.451592,-3.116609,0.30376,0.883175,0.420224,0.208396,2.912707,2023.7
2014/1/17,-1.897442,-3.128383,0.137268,0.91974,0.418899,0.205182,2.93155,2004.95
2014/1/20,-1.912555,-3.205255,0.053778,1.000306,0.437407,0.049591,2.884112,1991.25
2014/1/21,-1.563807,-3.236662,0.149294,1.03031,0.434865,-0.008669,2.838319,2008.31
2014/1/22,-1.697701,-3.143368,0.088817,1.147916,0.287488,0.223417,2.755206,2051.75
2014/1/23,-1.256594,-3.179441,0.163164,1.124978,0.350158,0.041192,2.692612,2042.18
2014/1/24,-2.132138,-3.155417,-0.141933,1.198407,0.266062,0.18472,2.672026,2054.39
2014/1/27,-1.470121,-3.324003,-0.059659,1.257285,0.238373,-0.011984,2.487002,2033.3
2014/1/28,-2.474232,-3.343399,-0.433747,1.271744,0.22575,-0.027727,2.45719,2038.51
2014/1/29,-2.490356,-3.374639,-0.488614,1.297636,0.19389,-0.055076,2.374333,2049.91
2014/1/30,-2.587994,-3.45658,-0.665266,1.296826,0.182639,-0.102611,2.324091,2033.08
2014/2/7,0.751439,-4.865567,-0.429777,1.528766,-0.427336,-1.253337,0.394546,2044.5
2014/2/10,0.898626,-4.832873,-0.304298,1.653532,-0.642473,-1.043238,0.131635,2086.07
2014/2/11,-0.207859,-4.724046,-0.664272,1.713364,-0.757177,-0.812736,0.073484,2103.67
2014/2/12,0.899757,-4.827782,-0.256608,1.633721,-0.635357,-1.142481,-0.015362,2109.96
2014/2/13,0.467865,-4.790881,-0.392032,1.686914,-0.742043,-0.966271,-0.070834,2098.4
2014/2/14,0.71061,-4.909683,-0.389787,1.593842,-0.632141,-1.20012,-0.080438,2115.85
2014/2/17,0.11007,-4.855631,-0.551019,1.651427,-0.807464,-0.913809,-0.218146,2135.42
2014/2/18,0.975304,-4.914226,-0.210217,1.622502,-0.781758,-1.031058,-0.287196,2119.07
2014/2/19,0.295743,-4.88538,-0.406926,1.634025,-0.833184,-0.9198,-0.304807,2142.55
2014/2/20,1.218349,-4.896432,-0.094585,1.589266,-0.797746,-1.030724,-0.389123,2138.78
2014/2/21,0.520755,-4.998183,-0.394333,1.51294,-0.736438,-1.114606,-0.327374,2113.69
2014/2/24,0.609731,-5.077727,-0.258746,1.476953,-0.801173,-0.999878,-0.362541,2076.69
2014/2/25,-0.46639,-5.019457,-0.539578,1.548953,-0.960394,-0.653176,-0.342534,2034.22
2014/2/26,-0.198855,-5.156608,-0.390621,1.441234,-0.828837,-0.909443,-0.310823,2041.25
2014/2/27,0.040826,-5.091157,-0.201095,1.447712,-0.875492,-0.818521,-0.370348,2047.35
2014/2/28,0.48253,-5.176746,-0.089055,1.352836,-0.789691,-0.957138,-0.351581,2056.3
